0.000000	1.802284	silence
1.802284	4.438462	voice
4.438462	5.245455	silence
5.245455	7.908531	voice
7.908531	8.365828	silence
8.365828	10.073963	voice
10.073963	10.652308	silence
10.652308	11.540000	voice
11.540000	12.360443	silence
12.360443	14.835221	voice
14.862121	16.825804	silence
16.825804	28.836550	fish
28.836550	30.732984	silence
30.732984	36.086037	voice
36.086037	37.390676	silence
37.390676	45.500956	fish
45.500956	46.294499	sielnce
46.294499	50.114266	voice
50.114266	51.351655	silence
51.351655	74.243357	fish
74.243357	90.867413	fish
90.867413	92.400699	silence
92.400699	97.108159	voice
97.108159	98.345548	silence
98.345548	151.902984	fish
