0.000000	1.707021	silence
1.727343	4.277713	voice
4.277713	5.090580	silence
5.090580	7.996580	voice
7.996580	8.352210	silence
8.352210	10.069392	voice
10.069392	10.292930	silence
10.292930	10.983867	voice
10.983867	11.725608	silence
11.725608	15.099007	voice
15.099007	16.115091	silence
16.115091	20.189587	fish
20.189587	20.392804	silence
20.392804	24.304727	fish
24.304727	24.751804	silence
24.751804	31.468119	fish
31.569727	34.181063	fish
34.206465	37.163269	fish
37.183591	37.330923	silence
37.330923	39.576469	fish
39.642514	41.979507	fish
42.299573	44.280937	fish
44.301259	44.453671	silence
44.453671	49.884640	fish
49.904962	50.225028	silence
50.225028	53.954056	fish
53.954056	56.087832	silence
